Photon Energy [eV],Luminosity per unit Frequency [ergs s^-1 Hz^-1]
10.1495,337818797241008128
12.2181,399683471812853760
14.1726,477587169175666688
16.8099,532577971928563712
21.3147,610481634931638272
24.7244,656307355431993344
27.0267,715880750850768896
34.5248,770871587963404288
39.7517,825862356356562944
50.0320,899183495413235712
58.9033,949591774219730944
78.6703,1036660519475347456
111.496,1103107786713071616
141.376,1148933507213426688
166.444,1185594042382024704
222.300,1206215657838870528
329.399,1261206357512552448
393.604,1249749996106940416
561.994,1277245345943781376
712.601,1263497739744837632
1442.01,1261206357512552448
1723.08,1247458751313608704
2250.66,1185594042382024704
2553.23,1123729333450440704
2729.54,1066447251544473600
3142.79,1080194926462894080
3486.80,979378437569380352
3955.55,883144506982006784
3955.55,798367006519721984
4554.41,766288960937787392
4554.41,725045867463049216
5128.49,642559611794096128
5774.93,633394495181815808
6128.09,576112378916110336
6748.63,537160564594442240
7655.89,511956425191194624
10533.1,438635320494260224
13355.8,360731657491185664
18104.5,312614692197498880
24001.4,211798168944246784
36096.5,147642198039461888
39457.8,127020642712158208
47853.5,83486235724611584
51923.0,49116971119149056
