Longitude,Latitude
55.0033,27.6003
53.0463,27.9637
52.6851,28.7965
52.4445,29.2294
50.4476,29.6261
50.5258,30.2929
52.2045,29.4290
51.2859,29.6275
51.6872,28.7282
52.8866,27.9968
54.7624,28.1999
53.7646,28.0983
52.0452,29.2621
49.8069,30.4584
51.3493,36.4943
49.1250,31.7906
50.0044,31.3254
48.8865,31.3902
47.8458,32.5218
48.5642,32.6230
47.5245,33.3546
46.7256,33.5533
46.7234,34.4866
46.6416,35.2865
46.4450,34.0528
47.2030,34.2541
47.0415,35.0205
46.6793,36.2199
45.5992,37.1514
45.5173,38.0180
46.1161,38.0190
46.1168,37.7190
46.1192,36.7523
46.0411,35.9855
47.0380,36.4871
47.3635,33.8877
47.9234,33.4886
47.7669,32.1550
49.0456,31.6238
49.2019,33.0241
48.4802,34.3562
47.4019,34.5211
46.1231,35.0856
45.3572,38.2177
44.6367,39.0165
46.5942,38.4198
47.5933,37.9547
47.7912,38.6884
47.7116,38.5883
48.6320,37.6231
48.7536,36.8900
47.5564,36.7213
50.0717,36.5589
49.5505,37.4913
49.5920,36.8247
51.6697,36.0615
53.2665,36.0642
54.3026,36.8326
55.6613,36.2348
56.6179,36.8698
54.7035,36.0999
54.0254,35.8988
52.6685,35.7299
52.3076,36.3959
53.5433,37.1647
51.3458,37.9610
50.0685,37.8922
49.7501,37.4917
49.5516,37.0580
50.2337,35.5925
52.3489,35.8293
53.9449,36.1653
48.3122,37.8226
47.5116,38.7546
46.9527,38.7537
47.7626,33.9550
48.8475,30.9901
51.3655,29.7276
54.3233,28.1659
53.7127,33.0982
51.7958,33.4284
52.7111,34.5966
56.2270,33.3691
58.8991,34.4402
56.0694,32.5022
52.8384,31.4634
59.5903,29.2080
58.6737,28.5398
57.4368,28.3044
56.9166,28.8035
57.6342,29.2047
58.7100,30.0732
60.3472,29.8759
61.3872,29.0110
59.0347,27.8071
57.6388,27.2714
55.8820,27.4018
55.8795,28.4685
56.1956,29.8357
58.7088,30.5732
60.2257,30.5757
62.2288,27.6124
58.5569,27.3063
57.6002,26.7380
55.4797,28.7011
57.1504,31.2040
58.5494,30.4396
59.7863,30.7083
55.2829,27.5341
54.3210,29.1325
51.7252,29.5282
46.9225,34.6869
46.0752,38.4189
52.7056,36.8966
54.1408,37.7323
56.4970,37.3362
61.0565,33.7438
59.9801,33.1420
59.4199,33.6744
61.2136,34.8108
61.0991,32.6105
59.3033,32.3742
58.9399,34.0736
61.7135,26.1115
64.8278,25.8834
62.9937,24.9470
60.1966,26.0756
53.9283,26.4319
50.2121,27.9257
49.1780,26.3240
45.6516,31.9515
44.7697,33.4833
44.3265,35.1826
44.3243,36.1159
44.8866,34.6835
45.1290,33.4839
45.7697,32.6517
46.8507,31.3201
48.3301,30.3559
43.6844,36.5816
44.2008,37.6824
44.7628,36.3834
45.4861,34.3845
47.2911,30.7875
49.7302,29.1249
48.0921,29.6888
47.3297,31.3542
47.2052,33.3207
45.5190,37.3180
45.1191,37.6173
44.8777,38.4169
